key,Portuguese,English,Context / Notes
cap1_conversa_beatrice/say_90,"Isto é um feromônio muito potente, extraído a partir de uma espécie de besouro muito rara. Se minha hipótese estiver correta, você chamará mais a atenção do sexo oposto.","This is a highly potent pheromone, extracted from an extremely rare species of beetle. If my hypothesis is correct, you will now attract more attention from the opposite sex.",
cap1_conversa_beatrice/say_91,Daniel franze a sobrancelha.,Daniel frowns.,
cap1_conversa_beatrice/say_92,Hmmm...Um besouro tipo esse?,Hmmm... A beetle like this?,
cap1_conversa_beatrice/say_93,"Daniel aponta para a manga da blusa, onde há um pequeno besouro rosa passeando.","Daniel points at the sleeve of his T-shirt, where a small pink beetle can be seen crawling around.",
cap1_conversa_beatrice/say_94,Que coincidência. Não imaginava que eles apareceriam por aqui.,What a coincidence. I had no idea one'd show up in a place like this.,
cap1_conversa_beatrice/say_95,Ah sim. Que bonitinho!,"Ah, yes. So cute!",
cap1_conversa_beatrice/say_96,"Talvez ele tenha sido atraído pelo feromônio. Acredito ter neutralizado boa parte do efeito para insetos, no entanto... ","Maybe it was attracted by the pheromone. I thought I had neutralized the effect it has on the insects themselves, though...",
cap1_conversa_beatrice/say_97,"Os dois olham para a janela. Centenas de besouros da mesma espécie estão se jogando na janela, querendo entrar.","They look out the window. Hundreds of pink beetles are hurling themselves against the glass, trying to get inside.",
cap1_conversa_beatrice/say_98,...Posso ter me enganado.,...I guess I was wrong.,
cap1_conversa_beatrice/say_99,Acho melhor a gente sair daqui.,I think it's best we get out of here.,
cap1_conversa_beatrice/say_100,Os dois saem correndo do local.,They run away.,
cap1_conversa_beatrice/say_101,Hmmm...Os números não encaixam...,Hmmm... The numbers don't add up...,
cap1_conversa_beatrice/say_102,"A garota está debruçada sobre anotações, com a testa franzida.","The girl is hunched over her notes, frowning.",
cap1_conversa_beatrice/say_103,"Beatrice, tá tudo bem? Vamos fazer mais experimentos hoje?","Beatrice, is everything okay? Will we do more experiments today?",
cap1_conversa_beatrice/say_104,"Ah, olá Daniel! Hoje não. Eu comecei a analisar a flor-do-paraíso, seguindo as instruções do meu pai.","Ah, hello, Daniel! No, not today. I've started my research on the Paradise Flower, as per my father's instructions.",
cap1_conversa_beatrice/say_105,"De acordo com as anotações dele, um princípio ativo do pólen dela, se isolado da forma certa, se torna uma substância muito potente.","According to his notes, one of the main active ingredients of its pollen, if correctly isolated, becomes a potent substance.",
cap1_conversa_beatrice/say_106,Outro feromônio? Eu não quero correr de insetos de novo!,Another pheromone? I don't want to run away from horny insects again!,
cap1_conversa_beatrice/say_107,"Similar, porém mais versátil. Tenho certeza que com a ajuda da flor-do-paraíso, até você pode conseguir conquistar alguém...","It's similar, but more versatile. I'm sure that with the help of the Paradise Flower, even someone like you will be able to get a girl...",
cap1_conversa_beatrice/say_108,"Ei, qual é!","Oh, come on!",
cap1_conversa_beatrice/say_109,"A garota ri, porém sua expressão se fecha rapidamente.","The girl laughs, but her expression quickly turns serious again.",
cap1_conversa_beatrice/say_110,"...De qualquer forma, não adianta. Eu não consigo. Nada do que eu tento funciona.","...Anyway, it's no use. I can't do it. Nothing I try works.",
cap1_conversa_beatrice/say_111,"Ei, não fala assim! Você não precisa ficar se cobrando desse jeito. Todo esse assunto parece muito avançado.","Hey, don't say things like that! You shouldn't be so hard on yourself. All of this sounds very advanced to me.",
cap1_conversa_beatrice/say_112,"Você é a pessoa mais inteligente que eu conheço, mas ainda é só uma estudante.","You're the most intelligent person I know, but you're still just a student.",
cap1_conversa_beatrice/say_113,Hmmm...Você está certo. Talvez eu só precise de mais tempo. Ou ajuda.,Hmmm... You're right. Maybe I just need a bit more time. Or some help.,
cap1_conversa_beatrice/say_114,Porque você não fala com o seu pai?,Why don't you talk to your dad?,
cap1_conversa_beatrice/say_115,Beatrice desvia o olhar.,Beatrice looks away.,
cap1_conversa_beatrice/say_116,Eu...não posso.,I... can't.,
cap1_conversa_beatrice/say_117,Daniel nota a hesitação da menina. Ele toma uma decisão.,Daniel notices the hesitation in her voice. He makes a decision.,
cap1_conversa_beatrice/say_118,Então... eu estudo com você.,"Well, then... I'll help you with your research.",
cap1_conversa_beatrice/say_119,A garota fica intrigada.,The girl becomes intrigued.,
cap1_conversa_beatrice/say_120,Você? ...Eu não sabia que você se interessava por esse tipo de pesquisa.,You? I didn't know you were interested in this sort of research.,
cap1_conversa_beatrice/say_121,"Eu quero ajudar. Posso não ser um perito em ciência, mas...","I just want to help. I might not be a science expert, but...",
cap1_conversa_beatrice/say_122,O garoto retira um pacote de rosquinhas da mochila.,The boy takes a bag of donuts out of his backpack.,
cap1_conversa_beatrice/say_123,...eu posso trazer comida.,...I can bring food.,
cap1_conversa_beatrice/say_124,"Glicose, o combustível primário da atividade cerebral...","Glucose, the primary fuel for brain function...",
cap1_conversa_beatrice/say_125,Beatrice dá uma mordida em uma das rosquinhas e seus olhos se iluminam.,Beatrice takes a bite out of one of the donuts and her eyes light up.,
cap1_conversa_beatrice/say_126,Excelente! Bem-vindo à equipe.,Excellent! Welcome to the team.,
cap1_conversa_beatrice/say_127,Daniel! Você chegou na hora certa!,"Daniel, perfect timing!",
cap1_conversa_beatrice/say_128,Me diga: existe algo em sua personalidade que você gostaria de mudar?,Tell me: is there anything about your personality that you'd like to change?,
cap1_conversa_beatrice/say_129,"Minha personalidade...? Não sei, a Ana sempre diz que eu sou muito medroso, então...","My personality...? I don't know... Anna always told me that I'm too much of a scaredy-cat, so...",
cap1_conversa_beatrice/say_130,Perfeito. Vamos ver...,Perfect. Let's see...,
cap1_conversa_beatrice/say_131,A garota digita alguns números em um capacete estranho e oferece para Daniel.,The girl punches some numbers into a strange-looking helmet and hands it to Daniel.,
cap1_conversa_beatrice/say_132,É um dispositivo de treinamento. Ele mede suas ondas cerebrais para moldar o comportamento desejado. Eu o configurei para incentivar um comportamento corajoso.,"This is a training device. It scans your brain waves and stimulates the desired behaviors. Right now, I've configured it to encourage fearless behavior.",
cap1_conversa_beatrice/say_133,"Daniel coloca o capacete, desconfiado. Ele trava com um clique.","Daniel isn't sure about, but he puts the helmet on anyway. It clicks in place.",
cap1_conversa_beatrice/say_134,"Sei não, Beatrice, isso não parece segur-","I'm not sure, Beatrice, this doesn't seem saf—",
cap1_conversa_beatrice/say_135,BZZZZT! BZZZZT!,BZZZZT! BZZZZT!,
cap1_conversa_beatrice/say_136,"Ai, que é isso!?","Ow, what is this?!",
cap1_conversa_beatrice/say_137,Funciona! O capacete vai apitar e aplicar um pequeno choque toda vez que ele detectar medo ou hesitação.,It works! The helmet beeps and administers a small electric shock every time it detects fear or hesitation.,
cap1_conversa_beatrice/say_138,Tira ele! Como é que tira-BZZZZT!,Take it off! How do I take it off— BZZZZT!,
cap1_conversa_beatrice/say_139,Hmmm... Preciso checar no manual de instruções...,Hmmm... I need to check the instruction's manual...,
cap1_conversa_beatrice/say_140,Não foi você quem fez - BZZZT - esse capacete?,Weren't you the one who created— BZZZZT! —this helmet?,
cap1_conversa_beatrice/say_141,Eletrônica nunca foi meu ponto forte. Eu encomendei no experimentosinusitados.com...,Electronics never been my strongest suit. I ordered it from weirdexperiments.com...,
cap1_conversa_beatrice/say_142,AAAAAA- BZZZT!,AAAAAAH— BZZZT!,
cap1_conversa_beatrice/say_143,"Pronto, achei o botão de emergência.","Okay, I found the emergency button.",
cap1_conversa_beatrice/say_144,O capacete destrava com um clique. Daniel respira aliviado.,The helmet unlocks with a click. Daniel breathes a sigh of relief.,
cap1_conversa_beatrice/say_145,Ufa...,Phew...,
cap1_conversa_beatrice/say_146,Hmmm...Eu deveria ter previsto uma reação em cadeia. Eu sequer esperava que fosse funcionar.,Hmmm. I should have predicted a chain reaction. I didn't even expect it to work.,
cap1_conversa_beatrice/say_147,Por quê?,Why's that?,
cap1_conversa_beatrice/say_148,"Bem, a maioria dos estudantes evita chegar perto de mim. Você se abre muito facilmente.","Well, most students don't want to hang out with me. You, on the other hand, are really open and easygoing.",
cap1_conversa_beatrice/say_149,"Para mim, isso já é bem corajoso.","For me, this already shows courage.",
cap1_conversa_beatrice/say_150,...Olá.,...Hi.,
cap1_conversa_beatrice/say_151,Beatrice está mergulhada em uma pilha de livros. Os olhos da garota abrem e fecham lentamente.,Beatrice is buried under a pile of books. The girl's eyes are opening and closing slowly.,
cap1_conversa_beatrice/say_152,Você parece cansada.,You look tired.,
cap1_conversa_beatrice/say_153,A menina pisca os olhos com força e ajeita a postura.,The girl blinks forcefully and sits up straight.,
cap1_conversa_beatrice/say_154,"Ah!...Sim. Estou apenas terminando a tarefa de história, estou atrasada.","Ahh!... Yeah. I'm just finishing a History assignment, I'm behind schedule.",
cap1_conversa_beatrice/say_155,Atrasada? Mas ainda tem quase duas semanas pra acabar o prazo...,Behind schedule? But there's almost two weeks until the deadline...,
cap1_conversa_beatrice/say_156,"Eu sempre termino minhas tarefas do colégio o mais cedo possível, assim tenho mais tempo para me dedicar aos meus experimentos. Você já terminou o seu, não é?","I always finish my schoolwork as early as possible, so I have more time to dedicate to my experiments. You've finished yours already, haven't you?",
cap1_conversa_beatrice/say_157,"Bem, é...é que...é um trabalho bem grande, né...?","Well, it's... it's... it's a really big project, isn't it...?",
cap1_conversa_beatrice/say_158,"Nem tanto, eu comecei ontem a coletar referências, passei a noite escrevendo e...","It's not that big. I began collecting references yesterday, spent the night writing and...",
cap1_conversa_beatrice/say_159,Beatrice boceja.,Beatrice yawns.,
cap1_conversa_beatrice/say_160,...hoje vou fechar a conclusão e a bibliografia.,"...today, I'll finish the conclusion and bibliography.",
cap1_conversa_beatrice/say_161,Você deveria ir descansar.,You should get some rest.,
cap1_conversa_beatrice/say_162,"Não não, esse trabalho já demorou tempo demais... Preciso voltar a minha pesquisa com a flor-do-paraíso...Sinto que estou perto de uma descoberta...","No, no, this assignment has already taken up too much time... I need to get back to my research on the Paradise Flower... I feel like I'm close to a breakthrough...",
cap1_conversa_beatrice/say_163,A garota vai abaixando a cabeça lentamente.,The girl slowly lowers her head.,
cap1_conversa_beatrice/say_164,Só...preciso...estudar...mais um pouco...e...Zzzzz...,It's just... I... need to... study... a bit more... and... Zzzzz...,
cap1_conversa_beatrice/say_165,Beatrice começa a dormir profundamente no meio da frase.,Beatrice falls sound asleep before she can finish the sentence.,
cap1_conversa_beatrice/say_166,(Ela realmente se esforça demais. Espero que ninguém importune ela por dormir na biblioteca...),(She pushes herself too hard. I hope nobody gives her any trouble for sleeping in the library...),
cap1_conversa_beatrice/say_167,O garoto faz companhia à garota adormecida por alguns minutos e depois vai embora.,The boy keeps the slumbering girl company for a few minutes and then leaves.,
cap1_conversa_beatrice/say_168,"Ah, oi, Daniel.","Oh, hi, Daniel.",
cap1_conversa_beatrice/say_169,"A garota desvia o olhar, as bochechas avermelhando ao perceber a presença do garoto.","The girl looks away, cheeks flushed pink at noticing the boy's presence.",
cap1_conversa_beatrice/say_170,Você parece...doente. Tá com febre?,You seem a bit... unwell. Are you feverish?,
cap1_conversa_beatrice/say_171,"O garoto põe a mão na testa de Beatrice, preocupado.","The boy, concerned, puts his hand on Beatrice's forehead.",
cap1_conversa_beatrice/say_172,"Estou bem. Por favor, não me toque.","I'm fine. Please, don't touch me.",
cap1_conversa_beatrice/say_173,A garota afasta o rosto. Daniel estranha.,The girl pulls her head away. Daniel finds it odd.,
cap1_conversa_beatrice/say_174,O que houve?,What happened?,
cap1_conversa_beatrice/say_175,"A garota ajeita os óculos, pigarreando.",The girl adjusts her glasses and clears her throat.,
cap1_conversa_beatrice/say_176,Eu pretendo avançar nos estudos hoje. Preciso focar.,I'm planning on getting my assignment done today. I need to concentrate.,
cap1_conversa_beatrice/say_177,A garota soa fria e distante. Daniel fica chateado.,The girl sounds cold and distant. Daniel becomes upset.,
cap1_conversa_beatrice/say_178,"Tudo bem, eu... não sabia que estava atrapalhando.","Alright, well, I... didn't realize I was getting in your way.",
cap1_conversa_beatrice/say_179,O garoto se vira para ir embora.,The boy turns to walk away.,
cap1_conversa_beatrice/say_180,"Não, espera.","No, wait.",
cap1_conversa_beatrice/say_181,...Você não me incomoda.,...You're not getting in my way.,
cap1_conversa_beatrice/say_182,Eu sei... Mas eu não posso te ajudar com muita coisa.,"I know... but I'm not helping you in any way, either.",
cap1_conversa_beatrice/say_183,Não precisa fazer nada. Só... fique aqui.,You don't need to do anything. Just... stay with me.,
cap1_conversa_beatrice/say_184,A garota volta a focar sua atenção nos livros.,The girl turns her attention back to her books.,
cap1_conversa_beatrice/say_185,Sua presença... me acalma.,Your presence... it calms me.,
cap1_conversa_beatrice/say_186,Os dois passam o tempo juntos.,They spend some time together.,
cap1_conversa_beatrice/say_187,"Olá, Daniel. Fiz algo para você.","Hi, Daniel. I made you something.",
cap1_conversa_beatrice/say_188,"A garota entrega uma caixa para Daniel. O garoto abre a caixa com cuidado, esperando se deparar com algum experimento maluco.","The girl hands Daniel a box. He opens it carefully, expecting yet another insane experiment.",
cap1_conversa_beatrice/say_189,"Porém, o garoto abre um sorriso ao se deparar com uma refeição completa.","But instead, the boy can't help but smile as he sees a full meal inside.",
cap1_conversa_beatrice/say_190,Não sabia que você cozinhava!,I didn't know you could cook!,
cap1_conversa_beatrice/say_191,Não cozinho. Mas uma cozinha não é muito diferente de um laboratório.,I can't cook. But a kitchen is not that different from a lab.,
cap1_conversa_beatrice/say_192,Daniel fica desconfiado.,Daniel is suspicious.,
cap1_conversa_beatrice/say_193,"Não tem nenhum \qaditivo\q aqui não, né?","There are no \qadditives\q, right?",
cap1_conversa_beatrice/say_194,"Apenas comida. Por favor, prove.","It's just food. Please, taste it.",
cap1_conversa_beatrice/say_195,"Ok, então! Vamos ver...","Okay, then! Let's see...",
cap1_conversa_beatrice/say_196,"O garoto dá uma boa garfada. Ele mastiga, mastiga...",The boy takes a good bite of the food. He chews and chews...,
cap1_conversa_beatrice/say_197,Uhh...,Uhh...,
cap1_conversa_beatrice/say_198,...mas parece hesitar em engolir.,...but he seems hesitant to swallow.,
cap1_conversa_beatrice/say_199,Algum problema?,Something wrong?,
cap1_conversa_beatrice/say_200,"O garoto engole, forçando.",The boy forces himself to swallow.,
cap1_conversa_beatrice/say_201,"Ufa, digo...A comida estava...bem-feita!","Phew, I mean... It's... well-cooked!",
cap1_conversa_beatrice/say_202,"Não minta pra mim, Daniel.","Don't lie to me, Daniel.",
cap1_conversa_beatrice/say_203,"Não é mentira! Estava tudo no ponto certo, mas...sem tempero.","I'm not lying! Everything was perfectly cooked, but... there's no seasoning.",
cap1_conversa_beatrice/say_204,Tempero?,Seasoning?,
cap1_conversa_beatrice/say_205,"É! Sal, pimenta.","Yeah! Salt, pepper...",
cap1_conversa_beatrice/say_206,Essa refeição possui o balanceamento perfeito de nutrientes! Qualquer adição é completamente irrelevante.,This meal has a perfect nutritional balance! Any addition would be totally irrelevant.,
cap1_conversa_beatrice/say_207,Comida não é só sobre nutrientes!,Food is more than just nutrients!,
cap1_conversa_beatrice/say_208,"Daniel dá uma aula enorme de culinária, enquanto Beatrice escuta atentamente, fazendo anotações.","Daniel proceeds to give a lengthy culinary lecture as Beatrice listens carefully, taking notes.",
cap1_conversa_beatrice/say_209,Daniel retira um saquinho de doces da mochila.,Daniel takes a little bag of candy out of his backpack.,
cap1_conversa_beatrice/say_210,Assistente Daniel se apresentando! Fiz isso aqui pra você.,Assistant Daniel reporting for duty! I made these for you.,
cap1_conversa_beatrice/say_211,"Ah, bem na hora. Obrigada.","Ah, right on time. Thank you.",
cap1_conversa_beatrice/say_212,"A garota prova, pensativa.",The girl tastes the candy thoughtfully.,
cap1_conversa_beatrice/say_213,Hmmm...,Hmmm...,
cap1_conversa_beatrice/say_214,O que você achou?,What do you think?,
cap1_conversa_beatrice/say_215,"Subitamente, a garota segura os ombros de Daniel e encara fixamente os olhos do garoto.","Suddenly, the girl grabs Daniel by the shoulders and stares into his eyes intensely.",
cap1_conversa_beatrice/say_216,Me conte como você fez isso.,Tell me how you made this.,
cap1_conversa_beatrice/say_217,"Você gostou, então?","You liked them, huh?",
cap1_conversa_beatrice/say_218,"Sinto como se todos os receptores de sabor estivessem sendo estimulados em minha língua. Por favor, liste EXATAMENTE as quantidades de todos os ingredientes.","I feel like all of my taste receptors are positively exploding from intense stimulation. Please, list the EXACT quantities of all the ingredients.",
cap1_conversa_beatrice/say_219,"Bem, eu usei mais ou menos um copo de farinha, meio tablete de manteiga e-","Well, I used more or less a cup of flour, half a block of butter and—",
cap1_conversa_beatrice/say_220,"Espere, \qdois copos\q? Qual o volume do copo? Quantas gramas de manteiga?","Wait, \qmore or less a cup\q? What is the volume of the cup? How many grams of butter?",
cap1_conversa_beatrice/say_221,Eu...não sei? Depende do copo que você tem em casa.,I... I dunno? Depends on the cup that you have at home.,
cap1_conversa_beatrice/say_222,V-você não sabe a quantidade exata?,Y-you don't know the exact amount?,
cap1_conversa_beatrice/say_223,"Bem, eu improviso bastante e testo muitas coisas, não dá pra saber assim exatamente, né?","Well, I like to improvise and try different things, so it's impossible to say exactly, you know?",
cap1_conversa_beatrice/say_224,Beatrice parece prestes a entrar em choque.,Beatrice looks to be on the verge of going into shock.,
cap1_conversa_beatrice/say_225,"Por favor, me leve para sua casa.","Please, take me to your house.",
cap1_conversa_beatrice/say_226,Q-quê?,Wh-what?,
cap1_conversa_beatrice/say_227,"Precisamos reproduzir essa receita com exatidão, medindo todos os ingredientes.","We must reproduce this exact recipe, this time carefully measuring all the ingredients.",
cap1_conversa_beatrice/say_228,Você gostou tanto assim?,"You liked it that much, huh?",
cap1_conversa_beatrice/say_229,"Vamos, Daniel! Pela ciência!","Please, Daniel! For science!",
cap1_conversa_beatrice/say_230,"Beatrice puxa o garoto para fora da biblioteca, enquanto Daniel reclama que eles ainda tem aulas para assistir.","Beatrice drags Daniel out of the library, even as he tries to point out that they still have classes to attend.",
cap1_conversa_beatrice/say_231,Beatrice puxa o garoto para fora da biblioteca.,Beatrice drags the boy out of the library.,
cap1_conversa_beatrice/say_232,Beatrice propõe mais um experimento com consequências duvidosas. O garoto recusa educadamente.,"Beatrice proposes one more experiment, one that might have dubious consequences. The boy politely declines.",
cap1_conversa_beatrice/say_233,Eles conversam e se divertem por um bom tempo e mal percebem o tempo passar.,"They chat and enjoy themselves for a long while, barely noticing the time pass.",
cap1_conversa_beatrice/say_234,Daniel e Beatrice voltam para a sala de aula para continuar as próximas lições.,"Daniel and Beatrice return to the classroom, and prepare for the next classes.",
cap1_conversa_beatrice/say_235,Daniel e Beatrice voltam para suas casas.,Daniel and Beatrice each go home.,
cap1_conversa_beatrice/say_236,Escolha qual item dar para Beatrice:,Select an item to give Beatrice:,
cap1_conversa_beatrice/say_237,"Ei Beatrice, eu tenho uma coisinha para te dar.","Hey, Beatrice, I have a little something for you.",
cap1_conversa_beatrice/say_238,Isso parece muito com algo que eu já tenho.. ,This is very similar to something I already have...,
cap1_conversa_beatrice/say_239,De-desculpa... Eu não sei como isso veio parar aqui na minha mochila...,S-sorry... I don't know how this got into my backpack...,
cap1_conversa_beatrice/say_240,"Eu não vejo problema em investigar coisas para adquirir conhecimento, mas isso que você fez é roubo.","I don't have any problems with investigating things for the sake of knowledge, but what you've done is stealing.",
cap1_conversa_beatrice/say_241,"Muito obrigada, isso é muito útil.","Thank you so much, this is really useful.",
cap1_conversa_beatrice/say_242,Que bom que você gostou!,I'm glad you like it!,
cap1_conversa_beatrice/say_243,"Beatrice, acho que vou respirar um pouco de ar fresco no parque. Está afim de ir?","Beatrice, I'm thinking about getting some fresh air in the park. Do you want to join me?",
cap1_conversa_beatrice/say_244,Hmmm... Há uma espécie de trepadeira cuja flor me interessa muito.,Hmmm... There's a type of bindweed that blooms a flower that I'm very interested in.,
cap1_conversa_beatrice/say_245,Podemos ir juntos. Você me ajuda a colher algumas amostras?,We can go together. Will you help me collect some samples?,
cap1_conversa_beatrice/say_246,"Claro, sem problema!","Sure, no problem!",
cap1_conversa_beatrice/set_var_0,de destino,from destination,
cap1_conversa_beatrice/say_247,"Daniel, eu preciso ir ao shopping comprar um livro. Um pouco de companhia seria útil. Você quer ir?","Daniel, I need to go to the mall to buy a book. It'd be nice to have some company. Do you want to come?",
cap1_conversa_beatrice/say_248,"Ah, verdade! Hoje tem promoção na livraria. Vamos lá, vou aproveitar os descontos!","Ah, that's right! There's a clearance sale at the bookstore today. Let's go, I want to make the most out of the discounts!",
cap1_conversa_beatrice/set_var_1,da livraria,from the bookstore,
cap1_conversa_beatrice/say_249,Você parece cansada. Quer dar um passeio no parque?,You look tired. Do you want to take a stroll through the park?,
cap1_conversa_beatrice/say_250,"Você está certo, acho que eu preciso descansar... Passar tempo com você é sempre relaxante.","You're right, I think I need some rest... Spending time with you is always relaxing.",
cap1_conversa_beatrice/set_var_2,do carvalho,from the oak tree,
cap1_conversa_beatrice/say_251,"Os dois chegam ao centro do parque, abraçados pela sombra de um imponente carvalho.","They arrive in the middle of the park, enveloped by the cool shade of a majestic oak tree.",
cap1_conversa_beatrice/say_252,Beatrice se aproxima da árvore com profundo interesse.,Beatrice approaches the tree with profound interest.,
cap1_conversa_beatrice/say_253,É aqui. Dê uma olhada.,It's here. Look.,
cap1_conversa_beatrice/say_254,A garota aponta para pequenas vinhas de uma trepadeira que cresce pelo carvalho. Os ramos serpenteiam e percorrem todo o tronco da árvore. Uma flor repousa em um dos ramos amarrados em um galho acima do casal.,"The girl points to the small tendrils of a vine growing around the oak tree. The vine snakes and meanders around the entire trunk. A single flower rests on a vine curled around a branch, just above the couple.",
cap1_conversa_beatrice/say_255,Clerodendrum affectio... A flor-do-paraíso.,Clerodendrum affectio... The Paradise Flower.,This flower is fictional. It's name and appearance was based on Clerodendrum thonson
cap1_conversa_beatrice/say_256,"Preciso chegar mais perto, Daniel. Com licença.","I need to get closer, Daniel. Excuse me.",
cap1_conversa_beatrice/say_257,"Claro, sem prob-ei, o que você tá fazendo?","Sure, no prob... hey, what are you doing?",
cap1_conversa_beatrice/say_258,"Beatrice, completamente alheia à situação, sobe em cima dos ombros de Daniel, tentando alcançar a flor.","Beatrice, completely oblivious to how it looks, climbs onto Daniel's shoulders, trying to reach the flower.",
cap1_conversa_beatrice/say_259,V-você podia (agh!) ter a-avisado aantes!,Y-you could have (agh!) w-warned me beforehand!,
cap1_conversa_beatrice/say_260,"Só um minuto, estou quase lá....quase lá...","Just a second, I'm almost there... almost there...",
cap1_conversa_beatrice/say_261,Daniel e Beatrice se desequilibram e caem.,Daniel and Beatrice lose their balance and fall down.,
cap1_conversa_beatrice/say_262,"Os dois se levantam, limpando grama e terra das roupas.",They get up and brush the grass and dirt off their clothes.,
cap1_conversa_beatrice/say_263,Consegui.,I got it.,
cap1_conversa_beatrice/say_264,Daniel massageia as costas.,Daniel rubs his back.,
cap1_conversa_beatrice/say_265,"Eu poderia ter subido na árvore e colhido ela pra você, sabe...","I could have climbed the tree to get it for you, you know...",
cap1_conversa_beatrice/say_266,"Beatrice mostra a flor para o garoto, orgulhosa.",Beatrice proudly holds the flower up for the boy to see.,
cap1_conversa_beatrice/say_267,Meu pai criou esta flor dentro de um laboratório.,My father created this flower in a lab.,
cap1_conversa_beatrice/say_268,Então seu pai é um cientista? ,"So, your father is a scientist?",
cap1_conversa_beatrice/say_269,Um dos melhores.,One of the best.,
cap1_conversa_beatrice/say_270,A garota guarda a flor com cuidado.,The girl carefully puts the flower away.,
cap1_conversa_beatrice/say_271,"Você foi muito útil hoje, Daniel. Agradeço.","You were really helpful today, Daniel. I appreciate it.",
cap1_conversa_beatrice/say_272,Sem problemas! Fico feliz por ajudar.,No worries! I'm glad I could help.,
cap1_conversa_beatrice/say_273,"Os dois chegam até a livraria, porém o livro que Beatrice queria já estava esgotado. Daniel compra alguns livros de culinária e os dois vão embora.","They arrive at the bookstore, but the book Beatrice wants is sold out. Daniel buys a few cooking books and then they leave.",
cap1_conversa_beatrice/say_274,"Sentados em um banquinho no corredor do shopping, os dois conversam sobre a situação.","Sitting on a bench in the hall of the mall, they talk about their situation.",
cap1_conversa_beatrice/say_275,Eu deveria ter chegado mais cedo...,I should have come earlier...,
cap1_conversa_beatrice/say_276,"Eles vão reestocar no mês que vem, a moça da loja me disse. A gente pode voltar depois.",They'll restock next month. The store assistant told me so. We can come back then.,
cap1_conversa_beatrice/say_277,Um mês? Esse livro era essencial para que eu continuasse a pesquisa do meu pai... Droga!,A month? I needed that book to continue my father's research... Dang.,
cap1_conversa_beatrice/say_278,Faz quanto tempo... que seu pai faleceu?,How long has it been... since your father passed away?,
cap1_conversa_beatrice/say_279,"Beatrice olha para Daniel, surpresa.","Beatrice looks at Daniel, surprised.",
cap1_conversa_beatrice/say_280,F-faz dois meses.,I-it's been two months.,
cap1_conversa_beatrice/say_281,Não precisa conversar sobre isso se não quiser. É só que... esconder essas coisas faz mal.,You don't have to talk about it if you don't want to. It's just that... bottling things up is not good for you.,
cap1_conversa_beatrice/say_282,Eu estou bem. A morte é parte do ciclo natural.,I'm fine. Death is a part of the natural cycle.,
cap1_conversa_beatrice/say_283,Não é útil remoer acontecimentos passados. Já aconteceu.,There's no use in dwelling on the past. It's done.,
cap1_conversa_beatrice/say_284,Ele me incentivou e me ensinou muitas coisas.,He motivated me and taught me so much.,
cap1_conversa_beatrice/say_285,Meu pai começou a estudar botânica após o final da guerra. Muitas espécies foram extintas.,My father began studying botany after the war ended. Many species went extinct at the time.,
cap1_conversa_beatrice/say_286,"Respiramos o pólen e o perfume das flores o tempo todo. De acordo com a teoria dele, a súbita falta dessas partículas no ar, de alguma forma...","We're constantly breathing in pollen and perfumes produced by flowers. According to his theory, the sudden lack of these particles in the air, has somehow...",
cap1_conversa_beatrice/say_287,...Afetou nossa capacidade de firmar relacionamentos duradouros.,...affected our capacity to form lasting relationships.,
cap1_conversa_beatrice/say_288,"Para combater isso, ele decidiu criar novas espécies. Povoar o mundo de flores. A flor-do-paraíso é o resultado do esforço dele.",He decided to create a new species to counter this; to repopulate the flower world. The Paradise Flower is the result of his efforts.,
cap1_conversa_beatrice/say_289,Ele parece ter sido um bom homem.,It seems like he was a good man.,
cap1_conversa_beatrice/say_290,...É por isso que eu preciso terminar o trabalho que ele começou.,...This is why I need to finish the work he started.,
cap1_conversa_beatrice/say_291,Você não precisa se pressionar tant-,You don't need to put yourself under so much pressu—,
cap1_conversa_beatrice/say_292,EU PRECISO!,I DO!,
cap1_conversa_beatrice/say_293,"A garota pausa, olhos arregalados, surpresa com a própria reação.","The girl pauses, wide-eyed, surprised at her own reaction.",
cap1_conversa_beatrice/say_294,Desculpe-me. Eu não sei de onde isso veio.,Sorry. I don't know where that came from.,
cap1_conversa_beatrice/say_295,Daniel compreende que este ainda é um assunto sensível para Beatrice. O garoto procura a melhor forma de amenizar a situação.,Daniel realizes that it's still a sensitive subject for Beatrice. The boy tries to find a way to defuse the situation.,
cap1_conversa_beatrice/say_296,"Relaxa. Tudo bem, eu entendo.","Take it easy. It's okay, I get it.",
cap1_conversa_beatrice/say_297,Eu tenho uma ideia. E se...a gente for em outra livraria? Eu conheço algumas pelo bairro. Podemos encontrar o livro que você quer.,I've got an idea. How about... we go to another bookstore? I know a few around here. I'm sure we'll find the book you're looking for.,
cap1_conversa_beatrice/say_298,...É uma boa ideia.,...That's a good idea.,
cap1_conversa_beatrice/say_299,Daniel...,Daniel...,
cap1_conversa_beatrice/say_300,"Quando eu lia os livros dele, as anotações, estudava a flor que ele criou... era como se ele ainda estivesse ali, comigo.","When I read his books, his notes, when I studied the flower that he created... it was like he was still here... with me.",
cap1_conversa_beatrice/say_301,...Eu ainda sinto tanta falta dele.,...I still miss him a lot.,
cap1_conversa_beatrice/say_302,A garota começa a chorar.,The girl starts to sob.,
cap1_conversa_beatrice/say_303,"D-desculpa, eu não sei de onde-",S-sorry. I don't know what came over me—,
